country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2024,461050974935.558,Aggregates,Aggregates,Aggregates,,
F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2023,446556822628.333,Aggregates,Aggregates,Aggregates,,
F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2022,493607079541.02,Aggregates,Aggregates,Aggregates,,
F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2021,412339679197.262,Aggregates,Aggregates,Aggregates,,
F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2020,278002489876.1,Aggregates,Aggregates,Aggregates,,
F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2019,420008226857.817,Aggregates,Aggregates,Aggregates,,
F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2018,441129792524.321,Aggregates,Aggregates,Aggregates,,
F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2017,357931875145.801,Aggregates,Aggregates,Aggregates,,
F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2016,284731219659.424,Aggregates,Aggregates,Aggregates,,
XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2024,264290456342.017,Aggregates,Aggregates,Aggregates,,
XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2023,242074466496.88,Aggregates,Aggregates,Aggregates,,
XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2022,242781496166.828,Aggregates,Aggregates,Aggregates,,
XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2021,210829245213.071,Aggregates,Aggregates,Aggregates,,
XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2020,166654395808.388,Aggregates,Aggregates,Aggregates,,
XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2019,184765814725.783,Aggregates,Aggregates,Aggregates,,
XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2018,183262365881.571,Aggregates,Aggregates,Aggregates,,
XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2017,163158216343.986,Aggregates,Aggregates,Aggregates,,
XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2016,144853910656.629,Aggregates,Aggregates,Aggregates,,
XD,High income,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
XD,High income,Exports of goods and services (current US$),2024,22616469502333.4,Aggregates,Aggregates,Aggregates,,
XD,High income,Exports of goods and services (current US$),2023,21985890682395.5,Aggregates,Aggregates,Aggregates,,
XD,High income,Exports of goods and services (current US$),2022,22133308807361.5,Aggregates,Aggregates,Aggregates,,
XD,High income,Exports of goods and services (current US$),2021,19726640013050.7,Aggregates,Aggregates,Aggregates,,
XD,High income,Exports of goods and services (current US$),2020,16007137450502.0,Aggregates,Aggregates,Aggregates,,
XD,High income,Exports of goods and services (current US$),2019,17817059399867.1,Aggregates,Aggregates,Aggregates,,
XD,High income,Exports of goods and services (current US$),2018,18139539667235.4,Aggregates,Aggregates,Aggregates,,
XD,High income,Exports of goods and services (current US$),2017,16584280819890.4,Aggregates,Aggregates,Aggregates,,
XD,High income,Exports of goods and services (current US$),2016,15164369755511.7,Aggregates,Aggregates,Aggregates,,
XF,IBRD only,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
XF,IBRD only,Exports of goods and services (current US$),2024,10458288207060.2,Aggregates,Aggregates,Aggregates,,
XF,IBRD only,Exports of goods and services (current US$),2023,9912032916765.25,Aggregates,Aggregates,Aggregates,,
XF,IBRD only,Exports of goods and services (current US$),2022,10349223785133.6,Aggregates,Aggregates,Aggregates,,
XF,IBRD only,Exports of goods and services (current US$),2021,9185176554354.0,Aggregates,Aggregates,Aggregates,,
XF,IBRD only,Exports of goods and services (current US$),2020,7020143071856.36,Aggregates,Aggregates,Aggregates,,
XF,IBRD only,Exports of goods and services (current US$),2019,7626607344738.34,Aggregates,Aggregates,Aggregates,,
XF,IBRD only,Exports of goods and services (current US$),2018,7752119239394.52,Aggregates,Aggregates,Aggregates,,
XF,IBRD only,Exports of goods and services (current US$),2017,6961139594599.42,Aggregates,Aggregates,Aggregates,,
XF,IBRD only,Exports of goods and services (current US$),2016,6161115498480.55,Aggregates,Aggregates,Aggregates,,
ZT,IDA & IBRD total,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
ZT,IDA & IBRD total,Exports of goods and services (current US$),2024,11093804905727.1,Aggregates,Aggregates,Aggregates,,
ZT,IDA & IBRD total,Exports of goods and services (current US$),2023,10509074338322.0,Aggregates,Aggregates,Aggregates,,
ZT,IDA & IBRD total,Exports of goods and services (current US$),2022,10956081666117.7,Aggregates,Aggregates,Aggregates,,
ZT,IDA & IBRD total,Exports of goods and services (current US$),2021,9705868713321.06,Aggregates,Aggregates,Aggregates,,
ZT,IDA & IBRD total,Exports of goods and services (current US$),2020,7437476020036.56,Aggregates,Aggregates,Aggregates,,
ZT,IDA & IBRD total,Exports of goods and services (current US$),2019,8094711181725.34,Aggregates,Aggregates,Aggregates,,
ZT,IDA & IBRD total,Exports of goods and services (current US$),2018,8210824637807.29,Aggregates,Aggregates,Aggregates,,
ZT,IDA & IBRD total,Exports of goods and services (current US$),2017,7380744988793.59,Aggregates,Aggregates,Aggregates,,
ZT,IDA & IBRD total,Exports of goods and services (current US$),2016,6531422579887.18,Aggregates,Aggregates,Aggregates,,
XH,IDA blend,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
XH,IDA blend,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
XH,IDA blend,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,Aggregates,,
XH,IDA blend,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,Aggregates,,
XH,IDA blend,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,Aggregates,,
XH,IDA blend,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,Aggregates,,
XH,IDA blend,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,Aggregates,,
XH,IDA blend,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,Aggregates,,
XH,IDA blend,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
XH,IDA blend,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
XI,IDA only,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
XI,IDA only,Exports of goods and services (current US$),2024,390592253032.661,Aggregates,Aggregates,Aggregates,,
XI,IDA only,Exports of goods and services (current US$),2023,370582790049.219,Aggregates,Aggregates,Aggregates,,
XI,IDA only,Exports of goods and services (current US$),2022,368405891542.671,Aggregates,Aggregates,Aggregates,,
XI,IDA only,Exports of goods and services (current US$),2021,315702897977.31,Aggregates,Aggregates,Aggregates,,
XI,IDA only,Exports of goods and services (current US$),2020,256662188144.33,Aggregates,Aggregates,Aggregates,,
XI,IDA only,Exports of goods and services (current US$),2019,289725949736.899,Aggregates,Aggregates,Aggregates,,
XI,IDA only,Exports of goods and services (current US$),2018,278595742481.069,Aggregates,Aggregates,Aggregates,,
XI,IDA only,Exports of goods and services (current US$),2017,253975579434.407,Aggregates,Aggregates,Aggregates,,
XI,IDA only,Exports of goods and services (current US$),2016,228137416640.164,Aggregates,Aggregates,Aggregates,,
XG,IDA total,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
XG,IDA total,Exports of goods and services (current US$),2024,670943996185.579,Aggregates,Aggregates,Aggregates,,
XG,IDA total,Exports of goods and services (current US$),2023,628533892214.108,Aggregates,Aggregates,Aggregates,,
XG,IDA total,Exports of goods and services (current US$),2022,633443520498.868,Aggregates,Aggregates,Aggregates,,
XG,IDA total,Exports of goods and services (current US$),2021,537660744865.583,Aggregates,Aggregates,Aggregates,,
XG,IDA total,Exports of goods and services (current US$),2020,437223434350.949,Aggregates,Aggregates,Aggregates,,
XG,IDA total,Exports of goods and services (current US$),2019,495097204366.909,Aggregates,Aggregates,Aggregates,,
XG,IDA total,Exports of goods and services (current US$),2018,479886164174.516,Aggregates,Aggregates,Aggregates,,
XG,IDA total,Exports of goods and services (current US$),2017,441443359341.512,Aggregates,Aggregates,Aggregates,,
XG,IDA total,Exports of goods and services (current US$),2016,389237235378.336,Aggregates,Aggregates,Aggregates,,
V3,Late-demographic dividend,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
V3,Late-demographic dividend,Exports of goods and services (current US$),2024,9144844353436.73,Aggregates,Aggregates,Aggregates,,
V3,Late-demographic dividend,Exports of goods and services (current US$),2023,8547536489007.84,Aggregates,Aggregates,Aggregates,,
V3,Late-demographic dividend,Exports of goods and services (current US$),2022,8893665927407.78,Aggregates,Aggregates,Aggregates,,
V3,Late-demographic dividend,Exports of goods and services (current US$),2021,7992409897802.51,Aggregates,Aggregates,Aggregates,,
V3,Late-demographic dividend,Exports of goods and services (current US$),2020,6257391192361.0,Aggregates,Aggregates,Aggregates,,
V3,Late-demographic dividend,Exports of goods and services (current US$),2019,6504222891390.62,Aggregates,Aggregates,Aggregates,,
V3,Late-demographic dividend,Exports of goods and services (current US$),2018,6546306368441.98,Aggregates,Aggregates,Aggregates,,
V3,Late-demographic dividend,Exports of goods and services (current US$),2017,5889448009301.06,Aggregates,Aggregates,Aggregates,,
V3,Late-demographic dividend,Exports of goods and services (current US$),2016,5247671479052.96,Aggregates,Aggregates,Aggregates,,
ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2024,1824161655828.58,Aggregates,Aggregates,Aggregates,,
ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2023,1742663641102.53,Aggregates,Aggregates,Aggregates,,
ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2022,1727414106815.76,Aggregates,Aggregates,Aggregates,,
ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2021,1463610591816.56,Aggregates,Aggregates,Aggregates,,
ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2020,1156995631247.31,Aggregates,Aggregates,Aggregates,,
ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2019,1353793051863.96,Aggregates,Aggregates,Aggregates,,
ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2018,1369119969325.17,Aggregates,Aggregates,Aggregates,,
ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2017,1278929738608.64,Aggregates,Aggregates,Aggregates,,
ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2016,1163052425492.97,Aggregates,Aggregates,Aggregates,,
XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2024,1487828320365.08,Aggregates,Aggregates,Aggregates,,
XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2023,1424486302448.31,Aggregates,Aggregates,Aggregates,,
XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2022,1418816892323.13,Aggregates,Aggregates,Aggregates,,
XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2021,1193967454315.76,Aggregates,Aggregates,Aggregates,,
XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2020,932679896795.815,Aggregates,Aggregates,Aggregates,,
XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2019,1080864209692.64,Aggregates,Aggregates,Aggregates,,
